symbol,average_volume
CHA,1054056.8
LPSN,1049288.7
GSRT,1047300.7
DHC,1047295.2
MNY,1045907.9
SMCL,1044217.8
SDGR,1043047.7
CHRW,1042185.3
AIQ,1036643.9
BHF,1036428.9
SOLZ,1034090.4
AMPL,1033442.8
ONCY,1027746.6
CVBF,1025811.7
CROX,1024793.8
HALO,1019342.6
SHC,1017406.9
PENG,1013410.4
OS,1012211.2
UBSI,1010439.5
DVAX,1009529.7
HCSG,1008189.5
AMZU,1007913.6
VTYX,1006922.4
EXPI,1005371.2
HLIT,1004602.8
TBLA,997423.2
HWC,996958.1
STOK,995129.7
CADL,991582.7
CBSH,989805.8
ANGH,983688.8888888889
FTAI,983507.8
TMDX,982668.0
PFG,972249.2
GMAB,968620.8
VMEO,964715.3
AAPD,963849.1
ORGO,962708.7
RGEN,962142.2
AHCO,960483.1
VRTX,958821.6
STIM,955577.4
NVEE,952826.4
MRX,944617.3
WB,944570.9
EOLS,939561.4
HIMX,934914.4
ASTL,933799.6
PLAY,933255.8
EXTR,930331.7
FOX,921602.8
NAVI,918798.3
PWP,917149.0
MAMK,914889.5
DPZ,913358.5
KLAC,909555.4
MMSI,905255.6
ALKT,905005.9
RNW,901009.9
ZLAB,899311.2
ACMR,898348.2
REAX,897965.5
SPWR,895549.4
TDIC,895043.25
MDXG,892833.2
FA,891580.2
OLLI,891530.3
TW,890894.0
KIRK,889795.9
SIGI,888216.9
AMSC,887850.4
GRPN,887763.4
MKSI,887431.1
AGEN,887347.9
PRGS,884778.4
PAYS,881290.9
LFMD,873339.2
OTEX,870084.1
PZZA,869733.1
CUE,869593.2
LUCD,867013.5
PTC,865416.6
TENB,864954.7
MIMI,864841.9
FHB,864546.1
CNTA,861715.3
FWONK,855691.6
EWZS,854274.6
QMCO,852806.8
DUOL,850494.6
PRVA,848746.8
CAR,847327.2
AKRO,843516.2
CHDN,843372.4
INMD,842074.2
PGNY,841809.4
BLDE,839376.3
MTSR,835092.6
VRSK,833100.9
AMTX,832261.2
ALNY,832108.6
SAIA,824565.8
ACB,823707.3
PTCT,819811.1111111111
PSNL,818249.3
