symbol,returns
BAFN,0.18845936029127405
BANF,0.2006753114285599
BANL,-0.12891986207443684
BANR,0.12835256720346366
BASE,0.2282828601984683
BATRA,0.06815692609143352
BATRK,0.04051249031575866
BBCP,0.20993879615570823
BBH,-0.07595826444155311
BBIO,0.7639893165244638
BBSI,0.29435101166523514
BCAL,0.0570291552405985
BCBP,-0.26973151460387723
BCDA,-0.2665615168054258
BCML,0.17259319465396417
BCOR,0.35655446782220984
BCPC,-0.17800346580391038
BCRX,0.10438834125536132
BEAGU,0.07399997711181641
BELFA,0.22579821841925315
BELFB,0.6956424199033949
BFC,0.40882541194987815
BFIN,0.01844272079759237
BFRI,-0.12195119823748583
BFST,0.00551469290335454
BGC,0.05448176560644847
BGM,0.6245980519438206
BHF,-0.001222521822585805
BHFAL,-0.13230075839255906
