Date,NormalizedPrice,Market
2019-06-01,191.01058628406903,US Indicators
2019-07-01,187.75866964558276,US Indicators
2019-08-01,171.79415773313255,US Indicators
2019-09-01,175.67083227551717,US Indicators
2019-10-01,176.98328344835164,US Indicators
2019-11-01,185.6781467498139,US Indicators
2019-12-01,189.197430923513,US Indicators
2020-01-01,183.56089265636757,US Indicators
2020-02-01,163.42162343201628,US Indicators
2020-03-01,136.15339999515726,US Indicators
2020-04-01,152.496643326661,US Indicators
2020-05-01,160.28441856800708,US Indicators
2020-06-01,158.80188705609294,US Indicators
2020-07-01,160.87640957759845,US Indicators
2020-08-01,173.44457797881233,US Indicators
2020-09-01,172.79307963473218,US Indicators
2020-10-01,176.17750894369425,US Indicators
2020-11-01,206.29183439188077,US Indicators
2020-12-01,221.2507782402816,US Indicators
2021-01-01,217.32019245106818,US Indicators
2021-02-01,224.72972205061924,US Indicators
2021-03-01,262.11415299399835,US Indicators
2021-04-01,257.4699479425792,US Indicators
2021-05-01,269.49970288272226,US Indicators
2021-06-01,266.99298344084116,US Indicators
2021-07-01,276.25329861214755,US Indicators
2021-08-01,272.3964743947199,US Indicators
2021-09-01,250.22381350762083,US Indicators
2021-10-01,284.032579183347,US Indicators
2021-11-01,263.4939531453275,US Indicators
2021-12-01,280.93049189546093,US Indicators
2022-01-01,268.51888888738813,US Indicators
2022-02-01,286.7977257729891,US Indicators
2022-03-01,339.15429873366486,US Indicators
2022-04-01,303.55443659634005,US Indicators
2022-05-01,297.34339859462204,US Indicators
2022-06-01,250.99388860627514,US Indicators
2022-07-01,276.74307095644934,US Indicators
2022-08-01,274.6929310081991,US Indicators
2022-09-01,238.15585335636746,US Indicators
2022-10-01,271.9800114229607,US Indicators
2022-11-01,295.8071484313695,US Indicators
2022-12-01,291.9079105060747,US Indicators
2023-01-01,309.78259998898494,US Indicators
2023-02-01,300.6667246153033,US Indicators
2023-03-01,286.9182002166694,US Indicators
2023-04-01,279.25343594670596,US Indicators
2023-05-01,264.2077761402789,US Indicators
2023-06-01,293.1824494900392,US Indicators
2023-07-01,303.7655750882624,US Indicators
2023-08-01,297.635864407224,US Indicators
2023-09-01,294.7682444886203,US Indicators
2023-10-01,291.11457737075347,US Indicators
2023-11-01,303.85439659391596,US Indicators
2023-12-01,336.87680089282037,US Indicators
2024-01-01,333.37922404912734,US Indicators
2024-02-01,345.79406875603695,US Indicators
2024-03-01,360.80293959970004,US Indicators
2024-04-01,330.6303573841172,US Indicators
2024-05-01,334.4930221577346,US Indicators
2024-06-01,326.6677895210239,US Indicators
